id_orden,fecha_alta,ciudad,edad,balance,num_productos,miembro_act,tiene_tarjeta,churn
ORD-25795,15/10/2024,Bogot√±,63.0,57706.521014062295,3,1,no,0
ORD-10860,15/10/2024,Medellín,85.0,-3915.017415819697,3,1,NO,0
ORD-86820,2024-10-15,Ciudad de M√©xico,50.0,57108.11123798079,1,1,SÍ,0
ORD-64886,2024-10-15,Medellin,18.0,55445.79698780538,1,0,SÍ,0
ORD-16265,"Oct 15, 2024",Bogot√±,36.0,37253.53655589292,4,1,SÍ,0
ORD-92386,15/10/2024,Bogotá,48.0,-1851.898994119736,3,0,SÍ,0
ORD-47194,15/10/2024,Ciudad de M√©xico,31.0,44679.79346295988,1,0,NO,0
ORD-97498,2024-10-15,Medell√edn,70.0,49065.65350503467,2,1,NO,0
ORD-54131,"Oct 15, 2024",Ciudad de M√©xico,65.0,40819.275241737625,2,1,no,1
ORD-70263,2024-10-15,Bogota,86.0,4095.6383891875594,1,1,NO,0
ORD-26023,15/10/2024,Medellín,79.0,89868.3501829229,3,0,?,0
ORD-51090,15/10/2024,Bogota,83.0,34028.46180139067,1,0,no,1
ORD-77221,2024/10/15,CDMX,81.0,44444.88342692748,3,1,si,1
ORD-74820,2024/10/15,Ciudad de M√©xico,87.0,-10236.85803045726,1,0,SÍ,0
ORD-10769,2024/10/15,Bogotá,80.0,89871.38371745517,2,0,SÍ,0
ORD-69735,"Oct 15, 2024",Bogota,50.0,38336.251706648596,1,0,SÍ,1
ORD-72955,2024-10-15,Bogota,58.0,52461.57042685506,2,1,NO,0
ORD-74925,15/10/2024,Medellín,65.0,78018.43612041629,2,0,SÍ,0
ORD-77969,15/10/2024,Bogot√±,30.0,33092.39488208435,1,1,SÍ,0
ORD-15311,"Oct 15, 2024",Bogotá,48.0,74081.1246846636,2,0,SÍ,0
ORD-93104,15/10/2024,Bogota,85.0,-1533.1363985285425,2,0,SÍ,1
ORD-63707,15/10/2024,Monterrey  ,21.0,63774.66643928283,1,1,NO,0
ORD-95305,2024-10-15,Bogotá,36.0,89306.05416299132,2,0,SÍ,1
ORD-38693,2024/10/15,Monterrey  ,87.0,35489.57881954926,1,1,NO,1
ORD-81932,2024/10/15,Ciudad de M√©xico,30.0,77972.04050745997,2,0,NO,0
ORD-35658,"Oct 15, 2024",Bogota,40.0,95848.06630484459,2,1,SÍ,0
ORD-94478,2024/10/15,Bogota,18.0,43628.95404864952,2,0,NO,1
ORD-28431,2024/10/15,Medellin,71.0,41561.792853753475,1,0,NO,0
ORD-12747,"Oct 15, 2024",Medellin,88.0,27542.6563541924,2,1,SÍ,0
ORD-69150,"Oct 15, 2024",Medellín,32.0,,2,1,SÍ,0
ORD-75725,2024/10/15,Bogot√±,82.0,29616.002743184494,2,0,SÍ,0
ORD-94654,2024-10-15,Medellín,88.0,27522.22253931932,2,1,NO,0
ORD-45773,"Oct 15, 2024",Medellín,32.0,79970.88241778391,2,1,NO,0
ORD-77435,15/10/2024,Bogota,38.0,30251.84936779351,1,1,SÍ,1
ORD-66886,"Oct 15, 2024",Medellin,36.0,56463.04786799057,1,1,SÍ,0
ORD-76803,15/10/2024,Medellin,77.0,50955.835880405946,1,0,SÍ,1
ORD-41551,"Oct 15, 2024",Medellin,50.0,87452.36406427807,1,1,si,0
ORD-21394,"Oct 15, 2024",Bogotá,66.0,37421.09419862466,1,0,SÍ,0
ORD-79092,2024/10/15,Medell√edn,52.0,59528.70116635805,1,0,si,1
ORD-13890,2024/10/15,Bogota,61.0,69776.74255690273,1,1,SÍ,1
ORD-51606,2024/10/15,Ciudad de M√©xico,28.0,87243.74018301454,1,1,NO,0
ORD-90038,2024-10-15,Medellín,89.0,37056.16637386833,1,1,NO,0
ORD-97313,2024/10/15,Medellin,83.0,34552.68828169049,1,1,NO,0
ORD-20627,2024/10/15,Medellin,63.0,23455.473650998683,1,1,SÍ,0
ORD-18792,"Oct 15, 2024",Medellin,26.0,105907.49052120603,2,0,NO,0
ORD-83969,"Oct 15, 2024",Bogota,20.0,84611.81095450968,2,1,SÍ,0
ORD-53001,2024-10-15,Medellin,43.0,48944.96514219892,1,0,SÍ,0
ORD-86552,15/10/2024,Bogot√±,89.0,98285.97877817642,2,1,NO,0
ORD-33897,"Oct 15, 2024",Medellín,65.0,47453.41514085857,1,1,si,0
ORD-78148,"Oct 15, 2024",Bogota,83.0,68110.26178583823,1,0,NO,1
ORD-33483,15/10/2024,Medellín,87.0,50254.297543068016,1,1,SÍ,0
ORD-58555,2024-10-15,Monterrey  ,45.0,59945.13629376178,2,0,NO,0
ORD-27159,"Oct 15, 2024",CDMX,43.0,57294.03606333867,2,0,NO,0
ORD-90077,2024/10/15,Bogot√±,42.0,39375.36566558376,1,1,no,0
ORD-45920,2024-10-15,Bogotá,29.0,77312.46345213382,1,0,si,0
ORD-77121,15/10/2024,Bogotá,22.0,67898.81044209753,3,1,NO,0
ORD-79479,15/10/2024,Medell√edn,65.0,,1,1,SÍ,1
ORD-99475,2024/10/15,Bogot√±,54.0,58005.679637483656,1,1,NO,0
ORD-29457,2024/10/15,Medellín,61.0,27335.752955571646,3,1,NO,0
ORD-76557,2024/10/15,Bogotá,32.0,92734.65166394255,2,1,N/A,0
ORD-87189,2024-10-15,CDMX,60.0,43436.094160814355,2,1,SÍ,0
ORD-88953,15/10/2024,Bogotá,65.0,59101.67571421037,2,1,SÍ,0
ORD-62995,2024/10/15,Medellin,87.0,65884.53397055672,1,1,SÍ,1
ORD-50757,2024/10/15,Medell√edn,63.0,58935.54290544047,1,1,NO,1
ORD-19692,15/10/2024,Bogota,60.0,72885.42553075685,2,0,no,0
ORD-55758,"Oct 15, 2024",Ciudad de M√©xico,38.0,,1,0,SÍ,0
ORD-82409,2024-10-15,Ciudad de M√©xico,40.0,44379.1624238188,2,1,NO,0
ORD-81211,"Oct 15, 2024",Bogotá,64.0,90636.68354889117,3,1,NO,0
ORD-75697,2024/10/15,Medellín,32.0,-9999.0,4,1,NO,0
ORD-47065,2024-10-15,Medellín,42.0,58418.72622201971,1,1,SÍ,0
ORD-42606,"Oct 15, 2024",Medellin,53.0,,2,1,si,0
ORD-21534,15/10/2024,Bogotá,68.0,33163.16193373024,2,1,SÍ,0
ORD-50397,2024/10/15,Bogotá,32.0,76104.77721977163,3,1,NO,0
ORD-11016,2024-10-15,Ciudad de M√©xico,85.0,128047.42243565111,1,1,SÍ,1
ORD-99789,2024-10-15,Monterrey  ,38.0,40956.002791992076,1,0,SÍ,0
ORD-65591,2024-10-15,Bogotá,30.0,80383.03936695197,1,1,si,0
ORD-99812,2024-10-15,Bogota,36.0,41852.217182495144,1,1,SÍ,0
ORD-33247,2024/10/15,Medell√edn,51.0,49737.87557859989,1,0,SÍ,0
ORD-34300,2024/10/15,Medell√edn,85.0,93939.5943057918,2,1,NO,0
ORD-84065,15/10/2024,Bogota,69.0,23161.617873117353,2,0,NO,0
ORD-92798,15/10/2024,Monterrey  ,44.0,16546.023284421928,1,1,NO,1
ORD-19268,15/10/2024,Medellín,46.0,47820.03378092127,2,1,SÍ,0
ORD-96807,"Oct 15, 2024",Ciudad de M√©xico,45.0,66591.40069844187,1,1,SÍ,0
ORD-22185,15/10/2024,Medell√edn,52.0,61591.66429202204,3,1,SÍ,0
ORD-73704,2024/10/15,Bogot√±,25.0,59016.9793923249,3,1,SÍ,0
ORD-96779,"Oct 15, 2024",CDMX,33.0,50853.29953778945,4,1,no,0
ORD-49099,2024/10/15,Ciudad de M√©xico,53.0,69663.50067459798,3,0,SÍ,0
ORD-18571,"Oct 15, 2024",Monterrey  ,47.0,-22841.8110511243,1,1,SÍ,0
ORD-48044,15/10/2024,Bogot√±,35.0,31229.86737280648,1,0,SÍ,0
ORD-61214,15/10/2024,Bogotá,19.0,47659.689767913806,2,0,SÍ,0
ORD-71228,15/10/2024,Bogota,66.0,67613.36997756273,3,0,NO,1
ORD-58984,"Oct 15, 2024",Bogotá,,87244.12850171415,1,1,NO,0
ORD-50774,2024/10/15,Medellin,24.0,27872.507295821495,1,1,SÍ,0
ORD-12568,2024-10-15,Bogota,56.0,86426.96563841419,2,1,SÍ,1
ORD-72592,2024/10/15,Bogot√±,30.0,38685.95826996593,1,0,SÍ,0
ORD-77563,15/10/2024,CDMX,48.0,46752.25542548284,2,0,NO,0
ORD-12695,"Oct 15, 2024",Medellin,88.0,64535.812969940336,2,1,NO,0
ORD-58190,"Oct 15, 2024",Medellín,80.0,44919.098017330674,1,1,SÍ,0
